tag,concurrency,qps,out_tok_s,ttft_p50_ms,tpot_mean_ms,itl_p95_ms
trtllm_fp8,1,0.203,52.0,41.9,19.17,19.85
trtllm_fp8,2,0.308,78.9,44.2,25.23,26.12
trtllm_fp8,4,1.455,372.4,39.8,10.62,11.07
trtllm_fp8,8,2.785,712.9,44.2,11.09,11.6
trtllm_fp8,16,5.346,1368.7,46.2,11.54,12.09
trtllm_fp8,32,7.817,2001.3,52.1,15.84,16.53
trtllm_fp8_v2,1,0.204,52.2,43.5,19.06,19.75
trtllm_fp8_v2,2,0.311,79.6,44.7,25.02,25.8
trtllm_fp8_v2,4,1.454,372.2,44.3,10.61,11.09
trtllm_fp8_v2,8,2.782,712.1,44.4,11.1,11.6
trtllm_fp8_v2,16,5.341,1367.3,50.5,11.54,12.05
trtllm_fp8_v2,32,7.851,2010.0,50.2,15.77,16.44
trtllm_fp8_v2,48,10.239,2621.1,68.7,18.08,19.82
trtllm_fp8_v2,64,13.338,3414.6,64.8,18.53,19.51
trtllm_nvfp4,1,0.194,49.7,42.6,20.03,20.62
trtllm_nvfp4,2,0.261,66.8,46.0,29.81,30.64
trtllm_nvfp4,4,1.932,494.5,47.8,7.93,8.31
trtllm_nvfp4,8,3.824,978.8,49.1,8.01,8.42
trtllm_nvfp4,16,7.38,1889.3,51.6,8.29,8.75
trtllm_nvfp4,32,13.241,3389.6,60.0,9.23,10.4
trtllm_nvfp4_v2,1,0.193,49.5,41.5,20.13,21.08
trtllm_nvfp4_v2,2,0.261,66.8,48.0,29.82,30.77
trtllm_nvfp4_v2,4,1.932,494.5,48.1,7.92,8.32
trtllm_nvfp4_v2,8,3.82,977.8,50.4,8.01,8.46
trtllm_nvfp4_v2,16,7.386,1890.7,53.5,8.28,8.78
trtllm_nvfp4_v2,32,13.954,3572.2,58.1,8.76,9.32
trtllm_nvfp4_v2,48,8.482,2171.5,80.8,21.86,23.67
trtllm_nvfp4_v2,64,25.338,6486.6,72.1,9.58,10.38
vllm_fp8,1,0.333,83.9,17.2,11.91,12.13
vllm_fp8,2,0.669,160.1,18.0,12.56,12.21
vllm_fp8,4,1.268,268.5,33.4,14.44,12.99
vllm_fp8,8,2.307,544.8,44.1,13.07,12.54
vllm_fp8,16,5.051,1289.8,45.3,12.2,13.03
vllm_fp8,32,6.153,1562.9,1905.8,13.24,13.86
vllm_fp8_v2,1,0.331,84.7,17.4,11.78,12.56
vllm_fp8_v2,2,0.67,170.0,17.8,11.72,12.21
vllm_fp8_v2,4,1.275,261.2,20.6,16.05,12.49
vllm_fp8_v2,8,2.561,641.2,35.1,12.25,12.6
vllm_fp8_v2,16,5.099,1298.3,42.6,12.19,12.83
vllm_fp8_v2,32,8.419,2153.7,67.7,12.93,13.75
vllm_fp8_v2,48,13.362,3420.6,78.6,13.78,14.91
vllm_fp8_v2,64,16.675,4268.7,85.7,14.71,16.07
vllm_nvfp4,1,0.401,102.7,13.6,9.72,11.25
vllm_nvfp4,2,0.82,209.9,15.5,9.49,10.64
vllm_nvfp4,4,1.663,425.8,25.0,9.33,9.7
vllm_nvfp4,8,3.276,838.7,28.6,9.46,10.01
vllm_nvfp4,16,6.171,1579.7,38.4,9.99,10.96
vllm_nvfp4,32,11.421,2923.8,53.2,10.77,14.68
vllm_nvfp4_v2,1,0.41,104.9,14.3,9.52,10.01
vllm_nvfp4_v2,2,0.835,213.7,15.2,9.33,9.66
vllm_nvfp4_v2,4,1.672,428.0,25.3,9.29,9.71
vllm_nvfp4_v2,8,3.281,840.0,27.6,9.45,9.95
vllm_nvfp4_v2,16,6.382,1633.8,33.5,9.7,10.24
vllm_nvfp4_v2,32,11.857,3035.3,43.0,10.41,11.22
vllm_nvfp4_v2,48,16.537,4233.5,55.2,11.16,12.19
vllm_nvfp4_v2,64,20.59,5271.0,63.6,11.93,13.21
